Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Sales,Discount,Profit,Region,City
ORD00051,2025-01-01,CUST0134,Desk,Furniture,5,1141.13,0.0,271.86,North,Lucknow
ORD00798,2025-01-01,CUST0221,Bookshelf,Furniture,2,253.26,0.05,50.44,South,Kochi
ORD00553,2025-01-01,CUST0230,Laptop,Electronics,4,1926.22,0.2,142.8,North,Delhi
ORD00029,2025-01-02,CUST0100,Headphones,Accessories,2,145.87,0.1,40.05,East,Ranchi
ORD00828,2025-01-02,CUST0040,Backpack,Bags,5,258.1,0.2,56.34,West,Surat
ORD00685,2025-01-02,CUST0160,Webcam,Accessories,2,183.55,0.0,34.49,East,Patna
ORD00686,2025-01-03,CUST0156,Bookshelf,Furniture,4,501.27,0.1,95.41,West,Mumbai
ORD00059,2025-01-03,CUST0229,Printer,Electronics,4,648.98,0.1,107.29,South,Kochi
ORD00709,2025-01-03,CUST0080,Tablet,Electronics,4,1051.08,0.1,205.0,South,Bengaluru
ORD00259,2025-01-04,CUST0067,Smartphone,Electronics,2,895.94,0.0,172.77,East,Kolkata
ORD00003,2025-01-04,CUST0195,Desk,Furniture,2,439.71,0.1,57.7,South,Kochi
ORD00122,2025-01-05,CUST0231,Office Chair,Furniture,4,547.66,0.2,88.27,South,Chennai
ORD00382,2025-01-05,CUST0244,Laptop,Electronics,2,1071.06,0.15,78.23,East,Kolkata
ORD00574,2025-01-05,CUST0180,Bookshelf,Furniture,3,382.97,0.1,75.19,South,Chennai
ORD00260,2025-01-06,CUST0067,Headphones,Accessories,3,205.28,0.05,40.06,South,Kochi
ORD00904,2025-01-06,CUST0121,Backpack,Bags,3,171.86,0.15,27.98,East,Bhubaneswar
ORD00741,2025-01-06,CUST0121,Printer,Electronics,5,1026.68,0.0,280.28,North,Jaipur
ORD00392,2025-01-07,CUST0016,Webcam,Accessories,4,360.66,0.0,126.96,South,Bengaluru
ORD00795,2025-01-07,CUST0178,Headphones,Accessories,1,67.44,0.1,19.74,East,Ranchi
ORD00502,2025-01-07,CUST0134,Mouse,Accessories,5,153.26,0.05,39.61,East,Ranchi
ORD00284,2025-01-08,CUST0055,Smartphone,Electronics,4,1933.01,0.0,605.82,South,Chennai
ORD00115,2025-01-08,CUST0185,Laptop,Electronics,1,538.17,0.1,58.55,South,Hyderabad
ORD00654,2025-01-08,CUST0088,Webcam,Accessories,5,456.34,0.0,98.55,North,Ghaziabad
ORD00772,2025-01-08,CUST0045,Printer,Electronics,5,901.11,0.0,225.5,North,Lucknow
ORD00672,2025-01-08,CUST0237,Headphones,Accessories,2,140.8,0.0,52.6,East,Ranchi
ORD00935,2025-01-09,CUST0179,Webcam,Accessories,1,78.8,0.0,26.94,East,Patna
ORD00197,2025-01-09,CUST0092,Laptop,Electronics,1,508.24,0.2,66.93,East,Ranchi
ORD00838,2025-01-09,CUST0123,Webcam,Accessories,4,313.93,0.0,111.06,North,Lucknow
ORD00294,2025-01-09,CUST0136,Pen Set,Stationery,1,8.05,0.0,2.4,East,Ranchi
ORD00488,2025-01-10,CUST0027,Notebook,Stationery,3,39.46,0.0,9.11,East,Ranchi
ORD00702,2025-01-10,CUST0054,Webcam,Accessories,5,352.12,0.2,30.36,North,Jaipur
ORD00983,2025-01-10,CUST0071,Monitor,Electronics,1,191.35,0.2,34.45,East,Kolkata
ORD00405,2025-01-11,CUST0135,Keyboard,Accessories,1,50.12,0.0,13.02,South,Kochi
ORD00417,2025-01-11,CUST0082,Bookshelf,Furniture,4,551.12,0.0,205.75,South,Chennai
ORD00808,2025-01-11,CUST0075,Keyboard,Accessories,4,205.66,0.05,39.5,East,Bhubaneswar
ORD00211,2025-01-14,CUST0189,Desk,Furniture,3,550.51,0.2,-8.32,West,Surat
ORD00189,2025-01-14,CUST0107,Pen Set,Stationery,1,8.51,0.0,1.73,South,Kochi
ORD00142,2025-01-14,CUST0034,Keyboard,Accessories,5,276.85,0.05,89.76,South,Chennai
ORD00119,2025-01-15,CUST0012,Smartphone,Electronics,1,377.98,0.1,92.44,East,Kolkata
ORD00190,2025-01-15,CUST0082,Laptop,Electronics,2,1285.72,0.1,292.88,East,Patna
ORD00699,2025-01-15,CUST0214,Laptop,Electronics,3,1833.76,0.1,319.48,North,Jaipur
ORD00400,2025-01-16,CUST0230,Pen Set,Stationery,3,21.73,0.0,5.67,West,Surat
ORD00638,2025-01-18,CUST0073,Webcam,Accessories,4,334.14,0.1,103.94,West,Ahmedabad
ORD00428,2025-01-18,CUST0129,Desk,Furniture,4,835.2,0.05,131.38,East,Bhubaneswar
ORD00614,2025-01-18,CUST0051,Headphones,Accessories,2,142.32,0.1,30.27,North,Delhi
ORD00700,2025-01-19,CUST0166,Tablet,Electronics,3,669.19,0.2,71.18,South,Hyderabad
